,kx,ky,kz,vb3,vb2,vb1,cb
351,0.44,0.36,0.08,-2.357064,0.050532,0.262793,14.104301
352,0.48,0.36,0.08,-2.442229,-0.164292,0.189157,14.148717
353,-0.48,0.36,0.08,-2.471811,-0.440358,0.147745,14.190894
354,-0.44,0.36,0.08,-2.439215,-0.752676,0.139612,14.286249
355,-0.4,0.36,0.08,-2.340901,-1.076629,0.159862,14.423884
356,-0.36,0.36,0.08,-2.181458,-1.38642,0.206409,14.58233
357,-0.32,0.36,0.08,-2.001871,-1.62644,0.276456,14.720518
358,-0.28,0.36,0.08,-2.045153,-1.547911,0.364286,14.758727
359,0.48,0.4,0.08,-2.549364,-0.068929,0.117216,13.886698
360,-0.48,0.4,0.08,-2.567274,-0.288855,0.058386,13.973017
361,-0.44,0.4,0.08,-2.522378,-0.585151,0.046727,14.103516
362,-0.4,0.4,0.08,-2.412963,-0.921157,0.067088,14.270536
363,-0.36,0.4,0.08,-2.238605,-1.267646,0.115769,14.460468
364,-0.32,0.4,0.08,-2.019895,-1.588052,0.187433,14.63671
365,-0.48,0.44,0.08,-2.673905,-0.152457,0.013535,13.688628
366,-0.44,0.44,0.08,-2.636755,-0.368469,-0.022599,13.843214
367,-0.4,0.44,0.08,-2.541756,-0.66426,-0.006194,14.041266
368,-0.36,0.44,0.08,-2.396883,-0.983889,0.042531,14.257418
369,-0.44,0.48,0.08,-2.734909,-0.195123,-0.041947,13.589154
370,-0.4,0.48,0.08,-2.659106,-0.396119,-0.050685,13.798481
371,0.36,0.24,0.12,-1.567805,0.370249,0.903753,12.5143
372,0.4,0.24,0.12,-1.857654,0.146548,0.817635,12.963105
373,0.44,0.24,0.12,-2.133462,-0.051986,0.727231,13.324389
374,0.48,0.24,0.12,-2.380643,-0.216362,0.641364,13.556562
375,-0.48,0.24,0.12,-2.582707,-0.341716,0.568107,13.674677
376,-0.44,0.24,0.12,-2.727912,-0.427534,0.514643,13.724087
377,-0.4,0.24,0.12,-2.802276,-0.469362,0.487367,13.741719
378,0.4,0.28,0.12,-1.894208,0.154914,0.688231,13.190361
379,0.44,0.28,0.12,-2.105604,-0.07685,0.597298,13.607625
380,0.48,0.28,0.12,-2.289534,-0.291461,0.508706,13.904686
381,-0.48,0.28,0.12,-2.437401,-0.478672,0.434989,14.064985
382,-0.44,0.28,0.12,-2.542544,-0.629591,0.383988,14.142557
383,-0.4,0.28,0.12,-2.60011,-0.737286,0.359295,14.18564
384,-0.36,0.28,0.12,-2.605528,-0.790424,0.365368,14.212218
385,-0.32,0.28,0.12,-2.562315,-0.784544,0.399579,14.219349
386,-0.28,0.28,0.12,-2.474896,-0.712365,0.460538,14.189945
387,-0.24,0.28,0.12,-2.355303,-0.575625,0.541408,14.080445
388,-0.2,0.28,0.12,-2.207853,-0.377254,0.635089,13.835018
389,-0.16,0.28,0.12,-2.042243,-0.130679,0.729445,13.438373
390,0.44,0.32,0.12,-2.154182,-0.042021,0.464823,13.832666
391,0.48,0.32,0.12,-2.281138,-0.278952,0.371306,14.196464
392,-0.48,0.32,0.12,-2.368141,-0.516273,0.293063,14.379649
393,-0.44,0.32,0.12,-2.413177,-0.741556,0.241499,14.466832
394,-0.4,0.32,0.12,-2.417445,-0.936044,0.22095,14.539664
395,-0.36,0.32,0.12,-2.389426,-1.074062,0.233016,14.609773
396,-0.32,0.32,0.12,-2.346676,-1.128938,0.276611,14.662779
397,-0.28,0.32,0.12,-2.310648,-1.078399,0.345569,14.668406
398,-0.24,0.32,0.12,-2.28423,-0.920919,0.432776,14.56699
399,-0.2,0.32,0.12,-2.254976,-0.676359,0.53386,14.282862
400,0.48,0.36,0.12,-2.3444,-0.211314,0.251268,14.386254
401,-0.48,0.36,0.12,-2.388797,-0.452097,0.160573,14.529606
402,-0.44,0.36,0.12,-2.382085,-0.719065,0.104331,14.591071
403,-0.4,0.36,0.12,-2.323051,-0.994197,0.085842,14.688617
404,-0.36,0.36,0.12,-2.220345,-1.247673,0.10285,14.809643
405,-0.32,0.36,0.12,-2.111973,-1.424818,0.152957,14.927225
406,-0.28,0.36,0.12,-2.093275,-1.422404,0.230247,14.98835
407,-0.24,0.36,0.12,-2.182248,-1.222604,0.32575,14.895326
408,-0.48,0.4,0.12,-2.469689,-0.342742,0.06742,14.320307
409,-0.44,0.4,0.12,-2.441466,-0.58663,-0.009709,14.45
410,-0.4,0.4,0.12,-2.354048,-0.884517,-0.034015,14.59407
411,-0.36,0.4,0.12,-2.206195,-1.206497,-0.014139,14.761685
412,-0.32,0.4,0.12,-1.998828,-1.526064,0.041669,14.933277
413,-0.28,0.4,0.12,-1.83799,-1.723103,0.125656,15.050283
414,-0.44,0.44,0.12,-2.541013,-0.431638,-0.069564,14.148673
415,-0.4,0.44,0.12,-2.459116,-0.675096,-0.121839,14.351999
416,-0.36,0.44,0.12,-2.322476,-0.982917,-0.10648,14.565461
417,-0.32,0.44,0.12,-2.143997,-1.298596,-0.047074,14.775471
418,-0.4,0.48,0.12,-2.572781,-0.477958,-0.143052,14.061448
419,-0.36,0.48,0.12,-2.462004,-0.706458,-0.160471,14.316535
420,0.48,0.32,0.16,-2.215328,-0.346039,0.498363,14.075899
421,-0.48,0.32,0.16,-2.297121,-0.593928,0.39884,14.423866
422,-0.44,0.32,0.16,-2.351299,-0.801848,0.311519,14.587297
423,-0.4,0.32,0.16,-2.382357,-0.953287,0.246426,14.647814
424,-0.36,0.32,0.16,-2.395947,-1.034236,0.212183,14.669118
425,-0.48,0.36,0.16,-2.318441,-0.530904,0.258126,14.675619
426,-0.44,0.36,0.16,-2.315819,-0.777987,0.15805,14.895245
427,-0.4,0.36,0.16,-2.27661,-1.006111,0.086834,14.964025
428,-0.36,0.36,0.16,-2.217202,-1.192385,0.053051,15.027602
429,-0.32,0.36,0.16,-2.168042,-1.29338,0.059979,15.084692
430,-0.28,0.36,0.16,-2.17,-1.265786,0.104391,15.112759
431,-0.24,0.36,0.16,-2.217133,-1.112692,0.182711,15.079967
432,-0.2,0.36,0.16,-2.268444,-0.876398,0.28597,14.871836
433,-0.44,0.4,0.16,-2.360161,-0.67427,0.033419,14.841831
434,-0.4,0.4,0.16,-2.282374,-0.921981,-0.056766,14.983382
435,-0.36,0.4,0.16,-2.157593,-1.185264,-0.095,15.116431
436,-0.32,0.4,0.16,-2.004692,-1.434087,-0.083556,15.256219
437,-0.28,0.4,0.16,-1.918403,-1.553144,-0.026527,15.373216
438,-0.24,0.4,0.16,-2.04916,-1.388334,0.065962,15.372984
439,-0.4,0.44,0.16,-2.361589,-0.771969,-0.144122,14.705123
440,-0.36,0.44,0.16,-2.231154,-1.019274,-0.207655,14.932559
441,-0.32,0.44,0.16,-2.054698,-1.309885,-0.198254,15.143946
442,-0.28,0.44,0.16,-1.842361,-1.602714,-0.132842,15.325385
443,-0.36,0.48,0.16,-2.350464,-0.821221,-0.244128,14.635807
444,-0.32,0.48,0.16,-2.207699,-1.054434,-0.26291,14.910052
445,-0.4,0.4,0.2,-2.220627,-1.031396,0.033097,15.3902
446,-0.36,0.4,0.2,-2.096495,-1.262857,-0.062267,15.450222
447,-0.32,0.4,0.2,-1.982313,-1.430284,-0.113594,15.487154
448,-0.36,0.44,0.2,-2.14156,-1.137817,-0.187123,15.296058
449,-0.32,0.44,0.2,-1.964999,-1.369294,-0.254745,15.51912
450,-0.28,0.44,0.2,-1.783352,-1.590963,-0.250893,15.693345
451,-0.24,0.44,0.2,-1.884966,-1.501082,-0.181944,15.802005
452,-0.32,0.48,0.2,-2.077563,-1.190324,-0.319739,15.248786
453,-0.28,0.48,0.2,-1.902504,-1.413924,-0.331093,15.517205
454,-0.28,0.48,0.24,-1.760719,-1.558304,-0.349911,15.842566
